	Filename,Cluster
MEDOID:	1aol_.B99990050.pdb,0
	1aol_.B99990005.pdb,0
	1aol_.B99990008.pdb,0
	1aol_.B99990018.pdb,0
	1aol_.B99990031.pdb,0
	1aol_.B99990035.pdb,0
	1aol_.B99990040.pdb,0
	1aol_.B99990050.pdb,0
MEDOID:	1aol_.B99990020.pdb,1
	1aol_.B99990009.pdb,1
	1aol_.B99990020.pdb,1
	1aol_.B99990022.pdb,1
	1aol_.B99990026.pdb,1
	1aol_.B99990034.pdb,1
	1aol_.B99990038.pdb,1
	1aol_.B99990039.pdb,1
	1aol_.B99990044.pdb,1
	1aol_.B99990047.pdb,1
MEDOID:	1aol_.B99990036.pdb,2
	1aol_.B99990002.pdb,2
	1aol_.B99990036.pdb,2
MEDOID:	1aol_.B99990029.pdb,3
	1aol_.B99990019.pdb,3
	1aol_.B99990029.pdb,3
	1aol_.B99990045.pdb,3
	1aol_.B99990049.pdb,3
MEDOID:	1aol_.B99990030.pdb,4
	1aol_.B99990007.pdb,4
	1aol_.B99990012.pdb,4
	1aol_.B99990014.pdb,4
	1aol_.B99990025.pdb,4
	1aol_.B99990030.pdb,4
MEDOID:	1aol_.B99990001.pdb,5
	1aol_.B99990001.pdb,5
	1aol_.B99990023.pdb,5
	1aol_.B99990042.pdb,5
MEDOID:	1aol_.B99990046.pdb,6
	1aol_.B99990016.pdb,6
	1aol_.B99990041.pdb,6
	1aol_.B99990046.pdb,6
MEDOID:	1aol_.B99990024.pdb,7
	1aol_.B99990004.pdb,7
	1aol_.B99990011.pdb,7
	1aol_.B99990013.pdb,7
	1aol_.B99990017.pdb,7
	1aol_.B99990021.pdb,7
	1aol_.B99990024.pdb,7
	1aol_.B99990032.pdb,7
	1aol_.B99990033.pdb,7
	1aol_.B99990037.pdb,7
MEDOID:	1aol_.B99990048.pdb,8
	1aol_.B99990015.pdb,8
	1aol_.B99990043.pdb,8
	1aol_.B99990048.pdb,8
MEDOID:	1aol_.B99990028.pdb,9
	1aol_.B99990003.pdb,9
	1aol_.B99990006.pdb,9
	1aol_.B99990010.pdb,9
	1aol_.B99990027.pdb,9
	1aol_.B99990028.pdb,9
